,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
14,655727,342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,1,2,4,10/01/2018,01/31/2019,32.37,,3058,34,4182,,104,,3058,,104,,,,,2151821,5817495,13061584,,13061584,,,,,,,13061584,,13061584,7506308,5555276,4576639,978637,54959,1033596,,1033596,
17,660651,340087,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,99934,2,1,2,10/01/2018,01/31/2019,243.45,496,2774,49,6027,179,679,375,2636,179,679,667120,6032153,2830989,3622343,6338867,20775469,13747857,63569890,77317747,916023,405805,6338867,,40427,.1176,13747856,65676735,79424591,55072442,24352149,21481370,2870779,2391710,5262489,,5262489,.264565
18,661241,344033,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,24780,1,4,10,04/03/2019,06/30/2019,138,,2377,48,4272,,218,,2377,,218,,,,,2308725,4105956,2246773,,2246773,,,2308725,,,,29164,,29164,,29164,955682,-926518,7847,-918671,,-918671,1.82749
19,661372,341316,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741-,MACON,99934,2,1,2,10/01/2018,01/31/2019,84.52,10,1053,24,2952,5,77,10,201,5,77,37501,683084,528132,627594,1926310,5360409,1283280,8240647,9523927,,,,,,,1283280,8588806,9872086,6055144,3816942,5119908,-1302966,2785450,1482484,,1482484,.557117
25,663133,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,99934,2,1,2,10/01/2018,01/31/2019,249.22,146,1794,25,3075,40,506,127,1502,40,506,483840,3569208,2225732,2487568,5438578,18761607,7424091,54169157,61593248,,,,,,,8850089,58172212,67022301,46416951,20605350,20568194,37156,3245695,3282851,,3282851,.299001
26,663135,341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,99934,2,1,2,10/01/2018,01/31/2019,200.92,91,2127,25,3075,27,560,65,1469,27,560,473541,3565617,2143933,2143933,4734509,18727251,9131290,59644357,68775647,,,,,,,9084288,62813193,71897481,53102029,18795452,19433323,-637871,1066927,429056,,429056,.269427
28,663314,341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,99934,2,1,2,10/01/2018,01/31/2019,176.53,102,1608,25,3075,32,409,102,1293,32,409,276392,2874149,1602313,1868371,4319440,14812078,4578229,43917941,48496170,,,,,,,5619938,44979005,50598943,35705693,14893250,15481880,-588630,1855337,1266707,,1266707,.299304
52,665299,341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,99934,2,1,9,10/01/2018,09/30/2019,103.78,63,1454,6,2190,22,393,63,1454,22,393,447071,4296989,2677438,3014841,7761595,18044452,5892492,35293893,41186385,,,,,,,5965799,35220585,41186384,21036541,20149843,18212106,1937737,372047,2309784,3078737,-768953,.435664
53,665300,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,2,1,2,10/01/2018,09/30/2019,267.6,1072,5756,25,9125,537,1541,588,4090,537,1541,21136,11911869,4160457,4201254,15921524,43769629,37086659,89092432,126179091,,,,,,,37700692,90353697,128054389,68983463,59070926,52253889,6817037,1120811,7937848,,7937848,.343479
54,665301,341324,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,99934,2,1,2,10/01/2018,09/30/2019,272.96,774,3052,21,7665,371,1158,423,2439,371,1158,60101,15270233,5395351,5420141,18576691,51662960,20767956,125129212,145897168,,,,,,,22209473,130110717,152320190,70328396,81991794,61185366,20806428,1903833,22710261,,22710261,.345141
67,665953,341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,99934,2,1,2,10/01/2018,09/30/2019,94.91,18,697,3,1095,11,184,18,235,11,184,290436,8050566,2879113,3450859,6668427,13255358,4852559,44151813,49004372,,,,,,,5252017,44290264,49542281,36921638,12620643,12239781,380862,158688,539550,3,539547,.25297
69,666113,341307,PENDER MEMORIAL HOSPITAL,507 E. FREMONT ST,BURGAW,NC,28425-,PENDER,48900,1,1,9,10/01/2018,09/30/2019,129.98,95,4186,25,9125,31,356,95,1229,31,356,240594,4877367,2281133,3305639,7985574,24102036,13635358,44321047,57956405,,,,,,,13584088,44464768,58048856,40340831,17708025,27535407,-9827382,9814243,-13139,-9818,-3321,.414085
70,666115,341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,1570 NC 8 & 89 HWY N,DANBURY,NC,27016,STOKES,49180,1,1,4,10/01/2018,09/30/2019,98.4,47,1830,25,9125,19,194,47,657,19,194,11879,6553692,2923166,2923166,7146030,13831795,8758263,22176698,30934961,,,,,,,9719046,21215915,30934961,16503895,14431066,14615078,-184012,872661,688649,,688649,.442207
71,666116,341322,ST LUKES HOSPITAL,220 HOSPITAL DRIVE,COLUMBUS,NC,28722-,POLK,99934,2,1,1,10/01/2018,09/30/2019,197.63,111,4659,25,9125,28,1283,110,3939,28,1283,65062,2665289,867638,1716303,17061683,34017387,52183942,61809314,113993256,,,,,,,53854794,71339248,125194042,84540409,40653633,43675356,-3021723,1444061,-1577662,,-1577662,.295577
72,666117,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,2,1,2,10/01/2018,09/30/2019,125.54,110,1678,21,7665,26,415,110,1321,26,415,258225,3747804,1938947,2326694,9221754,21495614,13074626,33073417,46148043,,,,,,,14525962,34978692,49504654,30262071,19242583,23252300,-4009717,2121776,-1887941,,-1887941,.456714
81,666439,341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,99934,2,1,2,10/01/2018,09/30/2019,82.98,6,818,25,9125,2,210,6,748,2,210,26484,1298514,940376,1416096,4479326,10781759,2088525,18908183,20996708,,,,,,,2399694,20629856,23029550,14049181,8980369,11818715,-2838346,2162804,-675542,,-675542,.478254
111,667589,343025,CAREPARTNERS REHAB HOSPITAL,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,BUNCOMBE,11700,1,5,2,10/01/2018,01/31/2019,195.72,836,6668,70,8610,49,538,836,6668,49,538,,,,,17178584,24278200,15881049,17896324,33777373,,,,,,,15925605,24759536,40685141,12036156,28648985,29653523,-1004538,3073404,2068866,,2068866,
136,669055,341325,ASHE MEMORIAL HOSPITAL,200 HOSPITAL AVENUE,JEFFERSON,NC,28640-,ASHE,99934,2,1,2,01/01/2019,12/31/2019,242.51,533,4772,25,9125,238,1194,422,3981,238,1194,251034,5074694,2052145,2159717,14705131,27047033,15033047,58757646,73790693,,,,,,,16395892,62982023,79377915,48400555,30977360,33079713,-2102353,1431834,-670519,,-670519,.356049
194,670790,343025,CAREPARTNERS REHAB HOSPITAL,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,,11700,1,5,4,02/01/2019,11/30/2019,386.68,1562,16088,74,22422,164,1225,1562,16088,164,1225,,,,,43169683,22954335,37676123,8819509,46495632,,,,,,,42268501,73579286,115847787,31792876,84054911,87224149,-3169238,556594,-2612644,,-2612644,
200,670882,340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,HOSPITAL RD CALL BOX C-268,CHEROKEE,NC,28719,SWAIN,99934,2,1,7,10/01/2018,09/30/2019,763,632,2515,20,7300,155,730,632,2515,155,730,,,,,37394268,37848501,32695,600936,633631,1,,37394268,,22379,.12,,,,,,83895616,-83895616,,-83895616,,-83895616,
206,670919,342013,LIFECARE HOSPITAL OF NORTH CAROLINA,1051 NOELL LANE,ROCKY MOUNT,NC,27804-,NASH,40580,1,2,4,03/01/2019,09/29/2019,141.68,,8433,50,10650,,222,,8433,,222,,,,,6313630,12483698,88579294,195508,88774802,,,,,,,88711801,63001,88774802,73001532,15773270,14436115,1337155,437841,1774996,2,1774994,
220,671217,344029,GOOD HOPE HOSPITAL INC,410 DENIM DRIVE,ERWIN,NC,28339-2204,HARNETT,99934,2,4,9,01/01/2019,12/31/2019,38.97,4569,4946,16,5840,360,384,4569,4946,360,384,,,,,1494410,2738989,3353432,,3353432,,,,,,,3353432,,3353432,9692,3343740,3455527,-111787,472409,360622,14253,346369,
295,673338,343026,CAROLINAS REHABILITATION,1100 BLYTHE BLVD,CHARLOTTE,NC,28203-,MECKLENBURG,16740,1,5,11,01/01/2019,12/31/2019,586.18,6844,42528,150,54750,369,2772,6844,42528,369,2772,,,,,39807787,84804233,213214839,62398219,275613058,,,,,,,213323800,63523095,276846895,187243717,89603178,98104414,-8501236,3203420,-5297816,1824635,-7122451,
