,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
56,688962,341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,99934,2,1,2,10/01/2019,09/30/2020,77.77,33,718,25,9150,5,158,33,652,5,158,57600,1089538,608510,889706,4417008,9940309,1814673,17512332,19327005,,,,,,,1810563,19856710,21667273,12531914,9135359,11576242,-2440883,6359870,3918987,,3918987,.479999
98,690034,341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,99934,2,1,2,10/01/2019,09/30/2020,95.82,16,997,3,1098,9,180,16,270,9,180,230396,8396836,3060952,3722232,6941947,13195064,4938525,43335024,48273549,,,,,,,5311406,43441274,48752680,36751059,12001621,12577240,-575619,825998,250379,,250379,.26399
99,690036,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,2,1,2,10/01/2019,09/30/2020,261.75,1098,5464,25,9150,307,1460,559,3814,307,1460,1577604,7628012,5329169,5423357,15931136,45839911,37091760,85241490,122333250,,,,,,,38486677,85236189,123722866,67040286,56682580,46589886,10092694,2926678,13019372,5215874,7803498,.370482
100,690037,341324,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,99934,2,1,2,10/01/2019,09/30/2020,270.63,682,2986,21,7686,208,1059,358,2352,208,1059,1375051,10502071,6158691,6183221,19241334,55186466,18954373,123474228,142428601,,,,,,,22644463,124207559,146852022,67614688,79237334,57510605,21726729,6049355,27776084,7181482,20594602,.376087
103,690154,341315,BLADEN COUNTY HOSPITAL,HIGHWAY 701,ELIZABETHTOWN,NC,28337,BLADEN,99934,2,1,9,10/01/2019,09/30/2020,160.04,147,4354,25,9150,39,481,131,1023,39,481,958110,19730453,7537889,7791150,13644912,28036288,23207884,60159359,83367243,,,,,,,23466816,63666324,87133140,60887324,26245816,27053376,-807560,1311528,503968,,503968,.329871
134,690671,341322,ST LUKES HOSPITAL,220 HOSPITAL DRIVE,COLUMBUS,NC,28722-,POLK,99934,2,1,1,10/01/2019,09/30/2020,185.6,97,4102,25,9150,25,926,91,3165,25,926,158698,1928760,739635,1318308,16772816,33394313,35905877,73472266,109378143,,,,,,,37112928,82922421,120035349,79038205,40997144,44546908,-3549764,5650297,2100533,,2100533,.300955
144,691106,341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,1570 NC 8 & 89 HWY N,DANBURY,NC,27016,STOKES,49180,1,1,4,10/01/2019,09/30/2020,98.4,28,1697,25,9150,10,146,28,526,10,146,13687,6553692,2873481,3377969,6736863,12353385,7551208,21812910,29364118,,,,,,,7551208,21814956,29366164,17738688,11627476,12648037,-1020561,5804150,4783589,,4783589,.415817
171,691464,341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,99934,2,1,9,10/01/2019,09/30/2020,114.11,60,1340,6,2196,18,365,60,1340,18,365,556593,3433256,2624641,2794895,7567238,17824318,5602783,34132658,39735441,,,,,,,5799289,33936153,39735442,19848524,19886918,17970374,1916544,1487653,3404197,2501554,902643,.444199
175,691551,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,2,1,2,10/01/2019,09/30/2020,124.58,110,1311,21,7686,14,354,110,1006,14,354,264105,3235366,1801124,2234211,9645661,21818099,11839422,31781471,43620893,,,,,,,13025032,33947119,46972151,29804449,17167702,23146160,-5978458,3962075,-2016383,,-2016383,.487448
180,691604,344030,STRATEGIC BEHAVIORAL CENTER LELAND,2050 MERCANTILE DRIVE,LELAND,NC,28451,BRUNSWICK,34820,1,4,4,01/01/2020,12/31/2020,102.84,3186,9468,40,14640,237,630,3186,9468,237,630,,,,,10111345,17418377,36619975,,36619975,,,,,,,37173125,,37173125,19763969,17409156,17446345,-37189,1298576,1261387,,1261387,
192,691708,341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,,99934,2,1,4,11/01/2019,10/31/2020,111.87,274,3726,25,9150,92,1122,274,3271,92,1122,2566668,2121743,3529964,5659326,15659497,41450762,14754950,114626546,129381496,,,,,,,14746932,116762046,131508978,98286053,33222925,45965370,-12742445,316745,-12425700,13,-12425713,.31583
202,691800,344029,GOOD HOPE HOSPITAL INC,410 DENIM DRIVE,ERWIN,NC,28339-2204,HARNETT,99934,2,4,9,01/01/2020,12/31/2020,37.07,,5125,16,5856,,477,,5125,,477,,,,,1509933,3272336,3314279,,3314279,,,,,,,3314279,,3314279,-17212,3331491,3845685,-514194,3247608,2733414,74493,2658921,
228,692973,343025,CAREPARTNERS REHAB HOSPITAL,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,,11700,1,5,4,12/01/2019,11/30/2020,281.79,1830,22038,74,27084,130,1563,1830,22038,130,1563,,,,,49959678,28264351,44846584,7044747,51891331,,,,,,,50277294,81913571,132190865,31354771,100836094,105997033,-5160939,1044386,-4116553,-3,-4116550,
248,693255,340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,HOSPITAL RD CALL BOX C-268,CHEROKEE,NC,28719,SWAIN,99934,2,1,7,10/01/2019,09/30/2020,789,612,2041,18,6588,145,584,612,2041,145,584,,,,,39084431,34994650,26533,697536,724069,1,,39084431,,18886,.12,,,,,,88331703,-88331703,,-88331703,,-88331703,
264,693440,341316,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741,MACON,99934,2,1,4,12/01/2019,11/30/2020,129.51,49,2699,24,8784,13,139,49,418,13,139,1060626,315908,1241863,1449486,7514276,16328284,3900157,27724122,31624279,,,,,,,3900157,29490642,33390799,18546342,14844457,24116861,-9272404,251660,-9020744,,-9020744,.513883
304,694121,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712,TRANSYLVANIA,99934,2,1,4,11/01/2019,10/31/2020,222.68,249,4994,25,9150,82,1352,237,4023,82,1352,3163892,1948949,4066316,5619092,20137217,48057790,24993829,137986099,162979928,,,,,,,24993829,146822045,171815874,122376098,49439776,56919263,-7479487,932431,-6547056,,-6547056,.291604
310,694242,341325,ASHE MEMORIAL HOSPITAL,200 HOSPITAL AVENUE,JEFFERSON,NC,28640-,ASHE,99934,2,1,2,01/01/2020,12/31/2020,211.67,480,4332,25,9150,226,1126,310,3817,226,1126,,4754575,1754853,2044562,13784216,26217956,14435096,54224064,68659160,,,,,,,15470430,57663449,73133879,43322457,29811422,31834875,-2023453,2241275,217822,,217822,.373209
